#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu May 04 03:48:50 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       lockout_map.ncd
#OUTPUT FILE:      lockout_pad.csv
#PART TYPE:        xc7z020
#SPEED GRADE:      -1
#PACKAGE:          clg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,IOPAD,PS_MIO1_500,UNUSED,,,,,,,,,,,
A2,,IOPAD,PS_MIO2_500,UNUSED,,,,,,,,,,,
A3,,IOPAD,PS_MIO5_500,UNUSED,,,,,,,,,,,
A4,,IOPAD,PS_MIO6_500,UNUSED,,,,,,,,,,,
A5,,,GND,,,,,,,,,,,,
A6,,IOPAD,PS_MIO13_500,UNUSED,,,,,,,,,,,
A7,,IOPAD,PS_MIO18_501,UNUSED,,,,,,,,,,,
A8,,IOPAD,PS_MIO20_501,UNUSED,,,,,,,,,,,
A9,,IOPAD,PS_MIO36_501,UNUSED,,,,,,,,,,,
A10,,,VCCO_MIO1_501,,,,,,,,any******,,,,
A11,,IOPAD,PS_MIO30_501,UNUSED,,,,,,,,,,,
A12,,IOPAD,PS_MIO28_501,UNUSED,,,,,,,,,,,
A13,,IOPAD,PS_MIO26_501,UNUSED,,,,,,,,,,,
A14,,IOPAD,PS_MIO22_501,UNUSED,,,,,,,,,,,
A15,,,GND,,,,,,,,,,,,
A16,S_AXI_RDATA<15>,IOB,IO_L9P_T1_DQS_AD3P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
A17,S_AXI_RDATA<16>,IOB,IO_L9N_T1_DQS_AD3N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
A18,S_AXI_RDATA<17>,IOB,IO_L10P_T1_AD11P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
A19,S_AXI_RDATA<18>,IOB,IO_L10N_T1_AD11N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
A20,,,VCCO_35,,,35,,,,,1.80,,,,
A21,S_AXI_RDATA<27>,IOB,IO_L15P_T2_DQS_AD12P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
A22,S_AXI_RDATA<28>,IOB,IO_L15N_T2_DQS_AD12N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
AA1,,IOPAD,PS_DDR_DQ26_502,UNUSED,,,,,,,,,,,
AA2,,IOPAD,PS_DDR_DM3_502,UNUSED,,,,,,,,,,,
AA3,,IOPAD,PS_DDR_DQ24_502,UNUSED,,,,,,,,,,,
AA4,,IOB33S,IO_L18N_T2_13,UNUSED,,13,,,,,,,,,
AA5,,,GND,,,,,,,,,,,,
AA6,,IOB33S,IO_L14N_T2_SRCC_13,UNUSED,,13,,,,,,,,,
AA7,S_AXI_ACLK,IOB,IO_L14P_T2_SRCC_13,INPUT,LVCMOS18*,13,,,,NONE,,UNLOCATED,NO,NONE,
AA8,,IOB33S,IO_L11N_T1_SRCC_13,UNUSED,,13,,,,,,,,,
AA9,,IOB33M,IO_L11P_T1_SRCC_13,UNUSED,,13,,,,,,,,,
AA10,,,VCCO_13,,,13,,,,,1.80,,,,
AA11,,IOB33M,IO_L8P_T1_13,UNUSED,,13,,,,,,,,,
AA12,,IOB33M,IO_L7P_T1_13,UNUSED,,13,,,,,,,,,
AA13,,IOB33S,IO_L23N_T3_33,UNUSED,,33,,,,,,,,,
AA14,,IOB33S,IO_L22N_T3_33,UNUSED,,33,,,,,,,,,
AA15,,,GND,,,,,,,,,,,,
AA16,,IOB33M,IO_L18P_T2_33,UNUSED,,33,,,,,,,,,
AA17,,IOB33M,IO_L17P_T2_33,UNUSED,,33,,,,,,,,,
AA18,,IOB33S,IO_L12N_T1_MRCC_33,UNUSED,,33,,,,,,,,,
AA19,,IOB33S,IO_L11N_T1_SRCC_33,UNUSED,,33,,,,,,,,,
AA20,,,VCCO_33,,,33,,,,,any******,,,,
AA21,,IOB33M,IO_L8P_T1_33,UNUSED,,33,,,,,,,,,
AA22,,IOB33M,IO_L7P_T1_33,UNUSED,,33,,,,,,,,,
AB1,,IOB33S,IO_L15N_T2_DQS_13,UNUSED,,13,,,,,,,,,
AB2,,IOB33M,IO_L15P_T2_DQS_13,UNUSED,,13,,,,,,,,,
AB3,,,VCCO_13,,,13,,,,,1.80,,,,
AB4,,IOB33S,IO_L16N_T2_13,UNUSED,,13,,,,,,,,,
AB5,,IOB33M,IO_L16P_T2_13,UNUSED,,13,,,,,,,,,
AB6,,IOB33S,IO_L17N_T2_13,UNUSED,,13,,,,,,,,,
AB7,,IOB33M,IO_L17P_T2_13,UNUSED,,13,,,,,,,,,
AB8,,,GND,,,,,,,,,,,,
AB9,,IOB33S,IO_L9N_T1_DQS_13,UNUSED,,13,,,,,,,,,
AB10,,IOB33M,IO_L9P_T1_DQS_13,UNUSED,,13,,,,,,,,,
AB11,,IOB33S,IO_L8N_T1_13,UNUSED,,13,,,,,,,,,
AB12,,IOB33S,IO_L7N_T1_13,UNUSED,,13,,,,,,,,,
AB13,,,VCCO_33,,,33,,,,,any******,,,,
AB14,,IOB33M,IO_L24P_T3_33,UNUSED,,33,,,,,,,,,
AB15,,IOB33S,IO_L24N_T3_33,UNUSED,,33,,,,,,,,,
AB16,,IOB33S,IO_L18N_T2_33,UNUSED,,33,,,,,,,,,
AB17,,IOB33S,IO_L17N_T2_33,UNUSED,,33,,,,,,,,,
AB18,,,GND,,,,,,,,,,,,
AB19,,IOB33M,IO_L10P_T1_33,UNUSED,,33,,,,,,,,,
AB20,,IOB33S,IO_L10N_T1_33,UNUSED,,33,,,,,,,,,
AB21,,IOB33S,IO_L8N_T1_33,UNUSED,,33,,,,,,,,,
AB22,,IOB33S,IO_L7N_T1_33,UNUSED,,33,,,,,,,,,
B1,,IOPAD,PS_DDR_DM0_502,UNUSED,,,,,,,,,,,
B2,,IOPAD,PS_DDR_DQ2_502,UNUSED,,,,,,,,,,,
B3,,,VCCO_MIO0_500,,,,,,,,any******,,,,
B4,,IOPAD,PS_MIO11_500,UNUSED,,,,,,,,,,,
B5,,IOPAD,PS_POR_B_500,UNUSED,,,,,,,,,,,
B6,,IOPAD,PS_MIO14_500,UNUSED,,,,,,,,,,,
B7,,IOPAD,PS_MIO24_501,UNUSED,,,,,,,,,,,
B8,,,GND,,,,,,,,,,,,
B9,,IOPAD,PS_MIO45_501,UNUSED,,,,,,,,,,,
